id,pokemon,type,species,height,weight,abilities,ev_field,catch_rate,base_friendship,base_exp,growth_rate,egg_groups,gender,egg_cycles,hp_base,hp_min,hp_max,attack_base,attack_min,attack_max,defense_base,defense_min,defense_max,special_attack_base,special_attack_min,special_attack_max,special_defense_base,special_defense_min,special_defense_max,speed_base,speed_min,speed_max,inserted_date
6ac15c75-8f08-413f-807c-d37d02bee644,Aggron,"Steel, Rock",Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,2024-04-26 17:20:38.487000
75017514-6a26-4d05-90a4-c6967c7f0457,Mega Aggron,Steel,Iron Armor Pokémon,2.2 m (7′03″),395.0 kg (870.8 lbs),1. Filter,3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),284,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,140,256,416,230,418,614,60,112,240,80,148,284,50,94,218,2024-04-26 17:20:38.488000
8ede5c7c-95c3-4a44-8b46-360c00eb1dd8,Aipom,Normal,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs),"1. Run Away, 2. Pickup, Skill Link (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,2024-04-26 17:20:38.489000
d026318e-8e6e-4931-be35-7115ec4c1f61,Alakazam,Psychic,Psi Pokémon,1.5 m (4′11″),48.0 kg (105.8 lbs),"1. Synchronize, 2. Inner Focus, Magic Guard (hidden ability)",3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),225,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,2024-04-26 17:20:38.490000
d2821d28-c9ee-4cd0-b801-eb3c5ff9233a,Mega Alakazam,Psychic,Psi Pokémon,1.2 m (3′11″),48.0 kg (105.8 lbs),1. Trace,3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),270,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,65,121,251,175,319,493,105,193,339,150,274,438,2024-04-26 17:20:38.491000
bfcc0041-4da6-436f-8b29-a9fafcbcc34b,Alcremie,Fairy,Cream Pokémon,0.3 m (1′00″),0.5 kg (1.1 lbs),"1. Sweet Veil, Aroma Veil (hidden ability)",2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Amorphous, Fairy","0% male, 100% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,75,139,273,110,202,350,121,222,375,64,119,249,2024-04-26 17:20:38.492000
2043d54f-0cfc-4bfa-95ec-51eec088395d,Alomomola,Water,Caring Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),"1. Healer, 2. Hydration, Regenerator (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Fast,"Water 1, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",165,440,534,75,139,273,80,148,284,40,76,196,45,85,207,65,121,251,2024-04-26 17:20:38.493000
cc811475-9227-41df-b3af-1de0d7b7175f,Altaria,"Dragon, Flying",Humming Pokémon,1.1 m (3′07″),20.6 kg (45.4 lbs),"1. Natural Cure, Cloud Nine (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,90,166,306,70,130,262,105,193,339,80,148,284,2024-04-26 17:20:38.493000
57b5982a-069d-4f43-b99b-cf1b2c499821,Mega Altaria,"Dragon, Fairy",Humming Pokémon,1.5 m (4′11″),20.6 kg (45.4 lbs),1. Pixilate,2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),207,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,110,202,350,110,202,350,105,193,339,80,148,284,2024-04-26 17:20:38.494000
178b6fa6-ce62-4f4e-b4b0-e4bde60b707d,Amaura,"Rock, Ice",Tundra Pokémon,1.3 m (4′03″),25.2 kg (55.6 lbs),"1. Refrigerate, Snow Warning (hidden ability)",1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",77,264,358,59,110,238,50,94,218,67,125,256,63,117,247,46,87,210,2024-04-26 17:20:38.495000
31fe9010-b4b7-402d-98e1-9c9f5c40d93c,Ambipom,Normal,Long Tail Pokémon,1.2 m (3′11″),20.3 kg (44.8 lbs),"1. Technician, 2. Pickup, Skill Link (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),169,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,66,123,254,60,112,240,66,123,254,115,211,361,2024-04-26 17:20:38.496000
712f9da9-af61-4ed2-a91d-ea7d7cec2b2d,Amoonguss,"Grass, Poison",Mushroom Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),"1. Effect Spore, Regenerator (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),162,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",114,338,432,85,157,295,70,130,262,85,157,295,80,148,284,30,58,174,2024-04-26 17:20:38.497000
12b55417-0728-480f-a637-7446adf46878,Ampharos,Electric,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),"1. Static, Plus (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,75,139,273,85,157,295,115,211,361,90,166,306,55,103,229,2024-04-26 17:20:38.498000
1d3ec257-a2b7-4bd2-96d7-3ba02a1bdb6c,Mega Ampharos,"Electric, Dragon",Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),1. Mold Breaker,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),275,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,95,175,317,105,193,339,165,301,471,110,202,350,45,85,207,2024-04-26 17:20:38.499000
f9871b53-9247-46f0-a560-f8c6e6100d15,Annihilape,"Fighting, Ghost",Rage Monkey Pokémon,1.2 m (3′11″),56.0 kg (123.5 lbs),"1. Vital Spirit, 2. Inner Focus, Defiant (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),268,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,115,211,361,80,148,284,50,94,218,90,166,306,90,166,306,2024-04-26 17:20:38.500000
baefdb68-01a2-45e3-992f-4b741711efd2,Anorith,"Rock, Bug",Old Shrimp Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),"1. Battle Armor, Swift Swim (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Erratic,Water 3,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",45,200,294,95,175,317,50,94,218,40,76,196,50,94,218,75,139,273,2024-04-26 17:20:38.501000
0b655d76-8415-4e4e-afb0-1dc4649e554b,Appletun,"Grass, Dragon",Apple Nectar Pokémon,0.4 m (1′04″),13.0 kg (28.7 lbs),"1. Ripen, 2. Gluttony, Thick Fat (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,85,157,295,80,148,284,100,184,328,80,148,284,30,58,174,2024-04-26 17:20:38.501000
8ce85e39-75d3-4323-a0b7-a215c6e03a14,Applin,"Grass, Dragon",Apple Core Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),"1. Ripen, 2. Gluttony, Bulletproof (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,40,76,196,80,148,284,40,76,196,40,76,196,20,40,152,2024-04-26 17:20:38.502000
bf04c253-856d-48ca-8108-ed5333f7f905,Araquanid,"Water, Bug",Water Bubble Pokémon,1.8 m (5′11″),82.0 kg (180.8 lbs),"1. Water Bubble, Water Absorb (hidden ability)",2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),159,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",68,246,340,70,130,262,92,170,311,50,94,218,132,242,399,42,80,201,2024-04-26 17:20:38.503000
e0064848-17f9-4814-bec8-fb2daed59a54,Arbok,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),"1. Intimidate, 2. Shed Skin, Unnerve (hidden ability)",2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,2024-04-26 17:20:38.503000
eab8c236-7fdd-4bd5-b0f8-be06c32ea1ab,Arboliva,"Grass, Normal",Olive Pokémon,1.4 m (4′07″),48.2 kg (106.3 lbs),"1. Seed Sower, Harvest (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,69,128,260,90,166,306,125,229,383,109,200,348,39,74,194,2024-04-26 17:20:38.504000
958ff746-7aba-4fcc-9f0e-c33423a9e26d,Arcanine,Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),"1. Intimidate, 2. Flash Fire, Justified (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)",90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,2024-04-26 17:20:38.505000
09d88258-a743-4e6c-87cc-0b7f8a1af406,Hisuian Arcanine,"Fire, Rock",Legendary Pokémon,2.0 m (6′07″),168.0 kg (370.4 lbs),"1. Intimidate, 2. Flash Fire, Rock Head (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)",95,300,394,115,211,361,80,148,284,95,175,317,80,148,284,90,166,306,2024-04-26 17:20:38.505000
5cc37b6b-048f-48a6-90d1-29e73c20afd2,Arceus,Normal,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs),1. Multitype,3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),360,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",120,350,444,120,220,372,120,220,372,120,220,372,120,220,372,120,220,372,2024-04-26 17:20:38.506000
54c8cfc9-ec97-4cd9-be06-22db5d995d07,Archaludon,"Steel, Dragon",Alloy Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),"1. Stamina, 2. Sturdy, Stalwart (hidden ability)",3 Defense,"10 (1.3% with PokéBall, full HP)",—,—,Medium Fast,"Dragon, Mineral","50% male, 50% female",—,90,290,384,105,193,339,130,238,394,125,229,383,65,121,251,85,157,295,2024-04-26 17:20:38.507000
f3258d66-6cae-42ff-9bce-d2cc12ce1ced,Archen,"Rock, Flying",First Bird Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs),1. Defeatist,1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",55,220,314,112,206,355,45,85,207,74,137,271,45,85,207,70,130,262,2024-04-26 17:20:38.507000
393f9b9a-3cd3-4b6d-8292-c1b72861283e,Archeops,"Rock, Flying",First Bird Pokémon,1.4 m (4′07″),32.0 kg (70.5 lbs),1. Defeatist,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,140,256,416,65,121,251,112,206,355,65,121,251,110,202,350,2024-04-26 17:20:38.508000
94d121a2-de1c-4fc4-aef4-b2547cc9c551,Arctibax,"Dragon, Ice",Ice Fin Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),"1. Thermal Exchange, Ice Body (hidden ability)",2 Attack,"25 (3.3% with PokéBall, full HP)",50 (normal),148,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",90,290,384,95,175,317,66,123,254,45,85,207,65,121,251,62,116,245,2024-04-26 17:20:38.508000
4cb642ab-05fa-4e0c-a0b1-ff323aabfb80,Arctovish,"Water, Ice",Fossil Pokémon,2.0 m (6′07″),175.0 kg (385.8 lbs),"1. Water Absorb, 2. Ice Body, Slush Rush (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,80,148,284,90,166,306,55,103,229,2024-04-26 17:20:38.509000
35de3b0b-667a-49b5-b3e8-d4bf713e4491,Arctozolt,"Electric, Ice",Fossil Pokémon,2.3 m (7′07″),150.0 kg (330.7 lbs),"1. Volt Absorb, 2. Static, Slush Rush (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,90,166,306,80,148,284,55,103,229,2024-04-26 17:20:38.509000
e768597a-abf7-48b4-8d47-22a294172c5c,Ariados,"Bug, Poison",Long Leg Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),"1. Swarm, 2. Insomnia, Sniper (hidden ability)",2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),140,Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,90,166,306,70,130,262,60,112,240,70,130,262,40,76,196,2024-04-26 17:20:38.510000
6e3d5861-2fbd-4574-8016-047d521fa906,Armaldo,"Rock, Bug",Plate Pokémon,1.5 m (4′11″),68.2 kg (150.4 lbs),"1. Battle Armor, Swift Swim (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,Water 3,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,125,229,383,100,184,328,70,130,262,80,148,284,45,85,207,2024-04-26 17:20:38.510000
fa556be4-ab00-4744-a850-7dca2fd5cfdb,Armarouge,"Fire, Psychic",Fire Warrior Pokémon,1.5 m (4′11″),85.0 kg (187.4 lbs),"1. Flash Fire, Weak Armor (hidden ability)",2 Sp. Atk,"25 (3.3% with PokéBall, full HP)",20 (lower than normal),263,Slow,Human-Like,"50% male, 50% female","35 (8,739–8,995 steps)",85,280,374,60,112,240,100,184,328,125,229,383,80,148,284,75,139,273,2024-04-26 17:20:38.511000
76c03f4f-965e-42dd-83be-5324230eb4ca,Aromatisse,Fairy,Fragrance Pokémon,0.8 m (2′07″),15.5 kg (34.2 lbs),"1. Healer, Aroma Veil (hidden ability)",2 HP,"140 (18.3% with PokéBall, full HP)",50 (normal),162,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",101,312,406,72,134,267,72,134,267,99,182,326,89,164,304,29,56,172,2024-04-26 17:20:38.512000
26793c7b-8b07-4715-8caa-1db631256a7e,Aron,"Steel, Rock",Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)",1 Defense,"180 (23.5% with PokéBall, full HP)",35 (lower than normal),66,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",50,210,304,70,130,262,100,184,328,40,76,196,40,76,196,30,58,174,2024-04-26 17:20:38.512000
3f268220-4996-4041-8f67-ba0adf5bac04,Arrokuda,Water,Rush Pokémon,0.5 m (1′08″),1.0 kg (2.2 lbs),"1. Swift Swim, Propeller Tail (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Slow,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",41,192,286,63,117,247,40,76,196,40,76,196,30,58,174,66,123,254,2024-04-26 17:20:38.513000
7b7deabc-07f6-4b78-8a5d-9e790cb00832,Articuno,"Ice, Flying",Freeze Pokémon,1.7 m (5′07″),55.4 kg (122.1 lbs),"1. Pressure, Snow Cloak (hidden ability)",3 Sp. Def,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",90,290,384,85,157,295,100,184,328,95,175,317,125,229,383,85,157,295,2024-04-26 17:20:38.514000
df34759a-1543-4b65-a216-cc7476172603,Galarian Articuno,"Psychic, Flying",Cruel Pokémon,1.7 m (5′07″),50.9 kg (112.2 lbs),1. Competitive,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",90,290,384,85,157,295,85,157,295,125,229,383,100,184,328,95,175,317,2024-04-26 17:20:38.514000
1008abc0-84c6-4ffc-aabf-be2800f5c2bc,Audino,Normal,Hearing Pokémon,1.1 m (3′07″),31.0 kg (68.3 lbs),"1. Healer, 2. Regenerator, Klutz (hidden ability)",2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),390,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,86,159,298,60,112,240,86,159,298,50,94,218,2024-04-26 17:20:38.515000
4422635c-dce8-4e9b-a83f-83b9489099eb,Mega Audino,"Normal, Fairy",Hearing Pokémon,1.5 m (4′11″),32.0 kg (70.5 lbs),1. Healer,2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),425,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,126,231,386,80,148,284,126,231,386,50,94,218,2024-04-26 17:20:38.515000
35ab15f9-b5d6-4fcd-acec-14be10e4b57f,Aurorus,"Rock, Ice",Tundra Pokémon,2.7 m (8′10″),225.0 kg (496.0 lbs),"1. Refrigerate, Snow Warning (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),104,Medium Fast,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",123,356,450,77,143,278,72,134,267,99,182,326,92,170,311,58,108,236,2024-04-26 17:20:38.516000
23cb7ee5-4076-406c-8c37-7e8e7627b9d7,Avalugg,Ice,Iceberg Pokémon,2.0 m (6′07″),505.0 kg (1113.3 lbs),"1. Own Tempo, 2. Ice Body, Sturdy (hidden ability)",2 Defense,"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,117,215,366,184,335,513,44,83,205,46,87,210,28,54,170,2024-04-26 17:20:38.516000
6615224b-4c6a-4c20-aa98-508d020291a0,Hisuian Avalugg,"Ice, Rock",Iceberg Pokémon,1.4 m (4′07″),262.4 kg (578.5 lbs),"1. Strong Jaw, 2. Ice Body, Sturdy (hidden ability)",2 Defense,"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,127,233,388,184,335,513,34,65,183,36,69,188,38,72,192,2024-04-26 17:20:38.517000
ffc6b288-bc1c-4a30-949e-5c119fd16fb5,Axew,Dragon,Tusk Pokémon,0.6 m (2′00″),18.0 kg (39.7 lbs),"1. Rivalry, 2. Mold Breaker, Unnerve (hidden ability)",1 Attack,"75 (9.8% with PokéBall, full HP)",35 (lower than normal),64,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",46,202,296,87,161,300,60,112,240,30,58,174,40,76,196,57,107,234,2024-04-26 17:20:38.517000
b2ed7da9-9aa1-46fa-9eec-672f05ebdbfd,Azelf,Psychic,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"2 Attack, 1 Sp. Atk","3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",75,260,354,125,229,383,70,130,262,125,229,383,70,130,262,115,211,361,2024-04-26 17:20:38.518000
d70139b2-794a-43cd-9f38-240e118fe9ee,Azumarill,"Water, Fairy",Aqua Rabbit Pokémon,0.8 m (2′07″),28.5 kg (62.8 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)",3 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),210,Fast,"Fairy, Water 1","50% male, 50% female","10 (2,314–2,570 steps)",100,310,404,50,94,218,80,148,284,60,112,240,80,148,284,50,94,218,2024-04-26 17:20:38.518000
583d51bf-fc2f-4aa3-89fa-ba1c396401ef,Azurill,"Normal, Fairy",Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)",1 HP,"150 (19.6% with PokéBall, full HP)",50 (normal),38,Fast,Undiscovered,"25% male, 75% female","10 (2,314–2,570 steps)",50,210,304,20,40,152,40,76,196,20,40,152,40,76,196,20,40,152,2024-04-26 17:20:38.519000
1fa9b7b9-4be2-4224-af27-99860e678f5f,Bagon,Dragon,Rock Head Pokémon,0.6 m (2′00″),42.1 kg (92.8 lbs),"1. Rock Head, Sheer Force (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,Dragon,"50% male, 50% female","40 (10,024–10,280 steps)",45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,2024-04-26 17:20:38.519000
5b0a9135-4bb2-41a9-80a8-fb39c440c4b9,Baltoy,"Ground, Psychic",Clay Doll Pokémon,0.5 m (1′08″),21.5 kg (47.4 lbs),1. Levitate,1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",40,190,284,40,76,196,55,103,229,40,76,196,70,130,262,55,103,229,2024-04-26 17:20:38.520000
ad24ab87-615c-4ab3-ad65-c646277d4d01,Banette,Ghost,Marionette Pokémon,1.1 m (3′07″),12.5 kg (27.6 lbs),"1. Insomnia, 2. Frisk, Cursed Body (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),159,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,2024-04-26 17:20:38.520000
